sim_text,sim_value,name
软瓶挤压器,0.88349944,包装瓶(水包装瓶)
一种包装钢桶及其加工工艺,0.8212722,包装瓶(水包装瓶)
用于以液态至膏状的食物和饮品灌装包装件、尤其是瓶子或杯子的设备,0.71712625,包装瓶(水包装瓶)
软瓶装箱机,0.72339594,包装瓶(水包装瓶)
一种包装组件,0.7312613,包装瓶(水包装瓶)
一种饮料罐,0.75183356,包装瓶(水包装瓶)
一种玻璃蘸水笔用包装礼盒,0.75314826,包装瓶(水包装瓶)
一种粉体包装装置,0.7752835,包装瓶(水包装瓶)
包装盒(电动充气泵),0.78327674,包装瓶(水包装瓶)
内循环真空上水瓶,0.79194975,包装瓶(水包装瓶)
中型散装容器,0.8059559,包装瓶(水包装瓶)
一种内置吸管式饮料盒,0.8085954,包装瓶(水包装瓶)
种植体包装容器,0.80880404,包装瓶(水包装瓶)
一种固装储水箱的玩具水枪,0.8099213,包装瓶(水包装瓶)
一种新型包装组件,0.81976134,包装瓶(水包装瓶)
一种塑料瓶瓶口修剪装置,0.8226512,包装瓶(水包装瓶)
包装盒(灯),0.71463025,包装瓶(水包装瓶)
柔性水桶装配设备及柔性水桶装配方法,0.8282085,包装瓶(水包装瓶)
一种蜂蜜瓶盖及其蜂蜜瓶子,0.84164035,包装瓶(水包装瓶)
一种玻璃瓶模具的清洗装置,0.84589577,包装瓶(水包装瓶)
扁平状物品包装体、放置架及包装方法,0.8540993,包装瓶(水包装瓶)
箱装置,0.86292374,包装瓶(水包装瓶)
钢瓶清洗装置,0.8687292,包装瓶(水包装瓶)
中间包包盖浇注料,0.8731107,包装瓶(水包装瓶)
一种正渗透水袋,0.87859786,包装瓶(水包装瓶)
包装盒(453),0.8847368,包装瓶(水包装瓶)
一种润滑油用盒式容器,0.8854496,包装瓶(水包装瓶)
一种折叠拆装型纸质包装箱,0.8854666,包装瓶(水包装瓶)
蔬菜的保存用容器,0.8985005,包装瓶(水包装瓶)
一种家用水瓶,0.66960424,包装瓶(水包装瓶)
一种升降压电路,0.6441464,一种可升降信号灯
一种高度可调式LED路灯,0.6762405,一种可升降信号灯
一种反光指示牌,0.89727396,一种可升降信号灯
一种LED灯条旋转显示控制系统及显示方法,0.848929,一种可升降信号灯
一种直升机停机坪用LED照明灯,0.697095,一种可升降信号灯
一种可控硅调光调色温筒灯电路,0.89464355,一种可升降信号灯
一种部件内置式升降杆,0.728371,一种可升降信号灯
一种可升降平板车,0.7541541,一种可升降信号灯
一种自动调节间距且可升降的输送设备教学仪器,0.7875511,一种可升降信号灯
一种节能灯,0.7921711,一种可升降信号灯
一种消防灯,0.80119085,一种可升降信号灯
一种电梯井道照明灯具,0.8113754,一种可升降信号灯
一种升降橱柜,0.8197585,一种可升降信号灯
一种带多种警示颜色的应急灯逃生系统,0.83246785,一种可升降信号灯
一种液压升降式课桌椅,0.8398319,一种可升降信号灯
